,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method
14,56,57,58,59,-1,1500000,True,36000000,3.141592626923672,1679974753.7284155,1679974762.517025,<class 'multiprocessing.context.Process'>
15,60,61,62,63,-1,1600000,True,36800000,3.141592627548776,1679974753.698132,1679974762.516025,<class 'multiprocessing.context.Process'>
16,64,65,66,67,-1,1700000,True,40800000,3.14159263006092,1679974753.72003,1679974762.5590813,<class 'multiprocessing.context.Process'>
17,68,69,70,71,-1,1800000,True,41400000,3.1415926304421733,1679974753.6848764,1679974762.676606,<class 'multiprocessing.context.Process'>
18,72,73,74,75,-1,1900000,True,39900000,3.14159262966722,1679974753.722206,1679974762.7806342,<class 'multiprocessing.context.Process'>
19,76,77,78,79,-1,2000000,True,40000000,3.141592629781138,1679974753.7072675,1679974762.5431352,<class 'multiprocessing.context.Process'>
0,0,1,2,3,-1,100000,True,13200000,3.141592578401996,1679974767.8142326,1679974786.0327878,<class 'threading.Thread'>
1,4,5,6,7,-1,200000,True,14600000,3.1415925860223948,1679974767.8437235,1679974786.1531892,<class 'threading.Thread'>
2,8,9,10,11,-1,300000,True,17700000,3.1415925980342303,1679974767.9188895,1679974785.8944976,<class 'threading.Thread'>
3,12,13,14,15,-1,400000,True,19200000,3.141592602569257,1679974768.0102124,1679974785.58393,<class 'threading.Thread'>
4,16,17,18,19,-1,500000,True,16500000,3.141592594766264,1679974768.0710914,1679974786.1107717,<class 'threading.Thread'>
5,20,21,22,23,-1,600000,True,15000000,3.141592589487378,1679974768.1320891,1679974785.366404,<class 'threading.Thread'>
6,24,25,26,27,-1,700000,True,14700000,3.141592588654821,1679974768.1771495,1679974785.9050102,<class 'threading.Thread'>
7,28,29,30,31,-1,800000,True,12800000,3.141592580060558,1679974768.3133135,1679974785.849106,<class 'threading.Thread'>
8,32,33,34,35,-1,900000,True,12600000,3.1415925795159403,1679974768.5109696,1679974785.8099475,<class 'threading.Thread'>
9,36,37,38,39,-1,1000000,True,9000000,3.1415925535897915,1679974768.739545,1679974785.327654,<class 'threading.Thread'>
10,40,41,42,43,-1,1100000,True,9900000,3.141592562680888,1679974769.0451636,1679974785.1867344,<class 'threading.Thread'>
11,44,45,46,47,-1,1200000,True,13200000,3.1415925841454104,1679974769.487338,1679974785.679604,<class 'threading.Thread'>
12,48,49,50,51,-1,1300000,True,9100000,3.141592557435915,1679974770.161501,1679974783.6922498,<class 'threading.Thread'>
13,52,53,54,55,-1,1400000,True,12600000,3.1415925821613606,1679974770.603862,1679974786.133041,<class 'threading.Thread'>
14,56,57,58,59,-1,1500000,True,7500000,3.141592542478652,1679974771.5209153,1679974785.7959492,<class 'threading.Thread'>
15,60,61,62,63,-1,1600000,True,6400000,3.1415925285896966,1679974771.7057102,1679974785.6448088,<class 'threading.Thread'>
16,64,65,66,67,-1,1700000,True,6800000,3.141592535942743,1679974772.3133934,1679974784.629934,<class 'threading.Thread'>
17,68,69,70,71,-1,1800000,True,3600000,3.1415924684045264,1679974772.5112453,1679974783.0411522,<class 'threading.Thread'>
